date,OPEN,HIGH,LOW,CLOSE,VOLUME,dividend,event_type,description
2022-02-01,269.72,273.1,260.56,264.7,170396140,45265999275.4,,
2022-02-02,265.88,266.91,254.52,261.0,170215080,44266555958.2,,
2022-02-03,258.45,259.87,250.06,250.79,151173100,38264109218.8,,
2022-02-04,251.99,259.74,251.91,256.53,127035170,32465015937.6,,
2022-02-07,256.99,260.53,253.52,257.61,85586640,21984857622.9,,
2022-02-08,257.6,269.9,256.52,269.8,161506220,42797055854.6,,
2022-02-09,270.01,279.71,270.0,279.09,193575010,53580134334.3,,
2022-02-10,279.2,282.3,273.67,275.2,180148360,49971152910.0,,
2022-02-11,274.9,275.87,259.61,260.83,213954390,57202046478.0,,
2022-02-14,256.69,259.5,245.1,256.7,357654570,90439846224.3,,
2022-02-15,257.89,274.0,257.51,274.0,271518670,72536855943.8,,
2022-02-16,276.88,281.0,274.15,277.78,195822410,54327320546.5,,
2022-02-17,277.0,277.0,259.36,260.58,262088700,69639981675.4,,
2022-02-18,262.13,267.0,245.0,250.28,270594740,69033777422.6,,
2022-02-21,249.15,258.32,184.3,201.0,1084508440,238583656296.9,,
2022-02-22,198.72,219.9,182.03,208.53,946020570,188663299795.8,,
2022-02-23,,,,,0,0.0,,
2022-02-24,187.54,187.54,89.59,132.18,829355880,98281399197.4,,
2022-02-25,123.75,152.89,115.11,131.12,396287150,51769813725.2,,
2022-02-28,,,,,0,0.0,,
2022-03-01,,,,,0,0.0,,
2022-03-02,,,,,0,0.0,,
2022-03-03,,,,,0,0.0,,
2022-03-04,,,,,0,0.0,,
2022-03-09,,,,,0,0.0,,
2022-03-10,,,,,0,0.0,,
2022-03-11,,,,,0,0.0,,
2022-03-14,,,,,0,0.0,,
2022-03-15,,,,,0,0.0,,
2022-03-16,,,,,0,0.0,,
2022-03-17,,,,,0,0.0,,
2022-03-18,,,,,0,0.0,,
2022-03-21,,,,,0,0.0,,
2022-03-22,,,,,0,0.0,,
2022-03-23,,,,,0,0.0,,
